Winner,Loser,Round,year
Atlanta Utd,CF Montréal,Wild Card Round,2024
Vancouver W'caps,Portland Timbers,Wild Card Round,2024
NY Red Bulls,NYCFC,Conference Semifinals,2024
Seattle Sounders FC,LAFC,Conference Semifinals,2024
LA Galaxy,Minnesota Utd,Conference Semifinals,2024
Orlando City,Atlanta Utd,Conference Semifinals,2024
LA Galaxy,Seattle Sounders FC,Conference Finals,2024
NY Red Bulls,Orlando City,Conference Finals,2024
LA Galaxy,NY Red Bulls,MLS Cup,2024
Atlanta Utd,Inter Miami,Round One,2024
NY Red Bulls,Columbus Crew,Round One,2024
NYCFC,FC Cincinnati,Round One,2024
Orlando City,Charlotte,Round One,2024
LAFC,Vancouver W'caps,Round One,2024
LA Galaxy,Colorado Rapids,Round One,2024
Minnesota Utd,Real Salt Lake,Round One,2024
Seattle Sounders FC,Houston Dynamo,Round One,2024
