Team,W,L,W/L%,GB,PS/G,PA/G,SRS,year
Boston Celtics,64,18,.780,—,120.6,109.2,10.75,2024
New York Knicks,50,32,.610,14.0,112.8,108.2,4.36,2024
Philadelphia 76ers,47,35,.573,17.0,114.6,111.5,2.51,2024
Brooklyn Nets,32,50,.390,32.0,110.4,113.3,-3.02,2024
Toronto Raptors,25,57,.305,39.0,112.4,118.8,-6.45,2024
Milwaukee Bucks,49,33,.598,—,119.0,116.4,2.44,2024
Cleveland Cavaliers,48,34,.585,1.0,112.6,110.2,1.98,2024
Indiana Pacers,47,35,.573,2.0,123.3,120.2,2.75,2024
Chicago Bulls,39,43,.476,10.0,112.3,113.7,-1.77,2024
Detroit Pistons,14,68,.171,35.0,109.9,119.0,-9.06,2024
Orlando Magic,47,35,.573,—,110.5,108.4,1.48,2024
Miami Heat,46,36,.561,1.0,110.1,108.4,1.10,2024
Atlanta Hawks,36,46,.439,11.0,118.3,120.5,-2.38,2024
Charlotte Hornets,21,61,.256,26.0,106.6,116.8,-10.12,2024
Washington Wizards,15,67,.183,32.0,113.7,123.0,-9.29,2024
Oklahoma City Thunder,57,25,.695,—,120.1,112.7,7.36,2024
Denver Nuggets,57,25,.695,—,114.9,109.6,5.23,2024
Minnesota Timberwolves,56,26,.683,1.0,113.0,106.5,6.39,2024
Utah Jazz,31,51,.378,26.0,115.7,120.5,-4.22,2024
Portland Trail Blazers,21,61,.256,36.0,106.4,115.4,-8.29,2024
Los Angeles Clippers,51,31,.622,—,115.6,112.3,3.41,2024
Phoenix Suns,49,33,.598,2.0,116.2,113.2,3.08,2024
Los Angeles Lakers,47,35,.573,4.0,118.0,117.4,1.07,2024
Sacramento Kings,46,36,.561,5.0,116.6,114.8,2.29,2024
Golden State Warriors,46,36,.561,5.0,117.8,115.2,2.77,2024
Dallas Mavericks,50,32,.610,—,117.9,115.6,2.30,2024
New Orleans Pelicans,49,33,.598,1.0,115.1,110.7,4.46,2024
Houston Rockets,41,41,.500,9.0,114.3,113.2,1.24,2024
Memphis Grizzlies,27,55,.329,23.0,105.8,112.8,-6.57,2024
San Antonio Spurs,22,60,.268,28.0,112.1,118.6,-5.80,2024
