Team,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%,year
Florida Panthers,82,52,24,6,110,.671,268,200,0.81,-0.02,.628,42,42-24-16,.610,2024
Boston Bruins,82,47,20,15,109,.665,267,224,0.53,0.01,.567,36,36-20-26,.598,2024
Toronto Maple Leafs,82,46,26,10,102,.622,303,263,0.50,0.01,.543,33,33-26-23,.543,2024
Tampa Bay Lightning,82,45,29,8,98,.598,291,268,0.28,0.00,.537,37,37-29-16,.549,2024
Detroit Red Wings,82,41,32,9,91,.555,278,274,0.06,0.02,.488,27,27-32-23,.470,2024
Buffalo Sabres,82,39,37,6,84,.512,246,244,0.03,0.01,.470,33,33-37-12,.476,2024
Ottawa Senators,82,37,41,4,78,.476,255,281,-0.28,0.04,.421,25,25-41-16,.402,2024
Montreal Canadiens,82,30,36,16,76,.463,236,289,-0.59,0.05,.390,20,20-36-26,.402,2024
New York Rangers,82,55,23,4,114,.695,282,229,0.61,-0.03,.665,43,43-23-16,.622,2024
Carolina Hurricanes,82,52,23,7,111,.677,279,216,0.73,-0.04,.652,44,44-23-15,.628,2024
New York Islanders,82,39,27,16,94,.573,246,263,-0.18,0.03,.500,29,29-27-26,.512,2024
Washington Capitals,82,40,31,11,91,.555,220,257,-0.41,0.04,.494,32,32-31-19,.506,2024
Pittsburgh Penguins,82,38,32,12,88,.537,255,251,0.05,0.00,.470,32,32-32-18,.500,2024
Philadelphia Flyers,82,38,33,11,87,.530,235,261,-0.29,0.03,.457,30,30-33-19,.482,2024
New Jersey Devils,82,38,39,5,81,.494,264,283,-0.22,0.01,.476,33,33-39-10,.463,2024
Columbus Blue Jackets,82,27,43,12,66,.402,237,300,-0.72,0.05,.323,21,21-43-18,.366,2024
Dallas Stars,82,52,21,9,113,.689,298,234,0.74,-0.04,.622,40,40-21-21,.616,2024
Winnipeg Jets,82,52,24,6,110,.671,259,199,0.69,-0.04,.640,46,46-24-12,.634,2024
Colorado Avalanche,82,50,25,7,107,.652,304,254,0.57,-0.05,.610,42,42-25-15,.604,2024
Nashville Predators,82,47,30,5,99,.604,269,248,0.23,-0.02,.555,38,38-30-14,.549,2024
St. Louis Blues,82,43,33,6,92,.561,239,250,-0.14,-0.01,.506,31,31-33-18,.488,2024
Minnesota Wild,82,39,34,9,87,.530,251,263,-0.14,0.01,.476,32,32-33-17,.494,2024
Arizona Coyotes,82,36,41,5,77,.470,256,274,-0.21,0.01,.427,28,28-41-13,.421,2024
Chicago Blackhawks,82,23,53,6,52,.317,179,290,-1.29,0.06,.280,17,17-53-12,.280,2024
Vancouver Canucks,82,50,23,9,109,.665,279,223,0.64,-0.04,.622,44,44-23-15,.628,2024
Edmonton Oilers,82,49,27,6,104,.634,294,237,0.65,-0.04,.591,39,39-27-16,.573,2024
Los Angeles Kings,82,44,27,11,99,.604,256,215,0.45,-0.05,.555,37,37-27-18,.561,2024
Vegas Golden Knights,82,45,29,8,98,.598,267,245,0.22,-0.05,.537,34,34-29-19,.530,2024
Calgary Flames,82,38,39,5,81,.494,253,271,-0.20,0.02,.488,32,32-39-11,.457,2024
Seattle Kraken,82,34,35,13,81,.494,217,236,-0.26,-0.03,.421,28,28-35-19,.457,2024
Anaheim Ducks,82,27,50,5,59,.360,204,295,-1.09,0.02,.335,21,21-50-11,.323,2024
San Jose Sharks,82,19,54,9,47,.287,181,331,-1.78,0.05,.256,14,14-54-14,.256,2024
